"ST.boot"	"group"
"147"	0.489895717363367	"LOIT"
"148"	0.468609632080207	"LOIT"
"149"	0.365445350349594	"LOIT"
"150"	0.3514159057442	"LOIT"
"151"	0.340366242279379	"LOIT"
"152"	0.44174720293575	"LOIT"
"153"	0.399909989526995	"LOIT"
"154"	0.411402671132152	"LOIT"
"155"	0.334789573534639	"LOIT"
"156"	0.469694913990636	"LOIT"
"157"	0.399153346644725	"LOIT"
"158"	0.341390802043416	"LOIT"
"159"	0.400576266011946	"LOIT"
"160"	0.382100254087263	"LOIT"
"161"	0.4219510083246	"LOIT"
"162"	0.329696982269315	"LOIT"
"163"	0.385112485507229	"LOIT"
"164"	0.39578488496779	"LOIT"
"165"	0.322278522088629	"LOIT"
"166"	0.345244898119796	"LOIT"
"167"	0.317194812799109	"LOIT"
"168"	0.406699896070466	"LOIT"
"169"	0.353618525390078	"LOIT"
"170"	0.462996796451082	"LOIT"
"171"	0.345519565765716	"LOIT"
"172"	0.353239083401212	"LOIT"
"173"	0.481817835873549	"LOIT"
"174"	0.280741105966475	"LOIT"
"175"	0.318294138234264	"LOIT"
"176"	0.401427761608839	"LOIT"
"177"	0.29296877273341	"LOIT"
"178"	0.354414539947706	"LOIT"
"179"	0.322664543625665	"LOIT"
"180"	0.356637697465677	"LOIT"
"181"	0.356741352190762	"LOIT"
"182"	0.323032468763145	"LOIT"
"183"	0.449266814616925	"LOIT"
"184"	0.370917607518245	"LOIT"
"185"	0.324910848775568	"LOIT"
"186"	0.336374801839965	"LOIT"
"187"	0.381250579533556	"LOIT"
"188"	0.421535906812834	"LOIT"
"189"	0.324289916117162	"LOIT"
"190"	0.419078403011607	"LOIT"
"191"	0.457694765991222	"LOIT"
"192"	0.332074649192996	"LOIT"
"193"	0.30403516226796	"LOIT"
"194"	0.351912197702068	"LOIT"
"195"	0.334954642898217	"LOIT"
"196"	0.307495337362399	"LOIT"
"197"	0.342388437791837	"LOIT"
"198"	0.488611461228741	"LOIT"
"199"	0.380554420412066	"LOIT"
"200"	0.35004350937539	"LOIT"
